purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
JEEP,WRANGLER,2009,15001.0,0,0,40001 - 60000,M,Thirties,UNITED STATES,Licensed Practical and Licensed Vocational Nurses,3
MERCEDES-BENZ,E350,2010,30001.0,0,0,160001 - 180000,M,Fifties,GERMANY,Nurse Anesthetists,3
CHEVROLET,CORVETTE,2005,25001.0,0,0,?,M,Twenties,UNITED STATES,Writers and Editors,3
VOLKSWAGEN,BEETLE,2008,15001.0,0,0,?,F,Fifties,GERMANY,"Maintenance and Repair Workers, General",3
MERCEDES-BENZ,SLK350,2005,20001.0,1,0,0 - 20000,F,Forties,GERMANY,Stockers and Order Fillers,3
CHEVROLET,CORVETTE,2007,45001.0,0,0,?,M,Fifties,UNITED STATES,Hoist and Winch Operators,3
MERCEDES-BENZ,E350,2010,35001.0,1,0,140001 - 160000,M,Forties,GERMANY,Computer and Information Systems Managers,3
CHEVROLET,CORVETTE,2010,40001.0,1,0,?,M,Twenties,UNITED STATES,Computer and Mathematical Occupations,3
JEEP,WRANGLER,2006,15001.0,0,0,80001 - 100000,F,Forties,UNITED STATES,Veterinarians,3
BMW,Z4,2007,25001.0,0,0,?,M,Forties,GERMANY,"Butchers and Other Meat, Poultry, and Fish Processing Workers",3
JEEP,WRANGLER,2008,15001.0,0,0,40001 - 60000,M,Thirties,UNITED STATES,Hoist and Winch Operators,3
CHEVROLET,CAMARO,2010,25001.0,1,0,60001 - 80000,M,Thirties,UNITED STATES,Animal Scientists,3
CHEVROLET,CORVETTE,2007,20001.0,0,0,20001 - 40000,F,Forties,UNITED STATES,Butchers and Meat Cutters,3
JEEP,WRANGLER,2012,25001.0,0,0,?,M,Fifties,UNITED STATES,Order Clerks,3
CHEVROLET,CAMARO,2010,15001.0,1,0,0 - 20000,F,Forties,UNITED STATES,Couriers and Messengers,3
JEEP,WRANGLER,2012,35001.0,0,0,100001 - 120000,M,Thirties,UNITED STATES,Electrical and Electronics Engineers,3
JEEP,WRANGLER,2010,25001.0,0,0,?,F,Forties,UNITED STATES,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3
AUDI,A3,2012,30001.0,0,0,80001 - 100000,F,Thirties,GERMANY,Database Administrators and Architects,3
CHEVROLET,CAMARO,2011,25001.0,0,0,?,M,Fifties,UNITED STATES,Political Scientists,3
CHEVROLET,CAMARO,2012,25001.0,1,0,?,U,Twenties,UNITED STATES,"Mining and Geological Engineers, Including Mining Safety Engineers",3
MERCEDES-BENZ,E350,2011,30001.0,0,0,60001 - 80000,M,Thirties,GERMANY,Dental Hygienists,3
MERCEDES-BENZ,E350,2011,40001.0,1,0,?,M,Sixties,GERMANY,"Dentists, General",3
