,purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
1,AUDI,A5,2011,25001.0,0,1,20001 - 40000,F,Thirties,GERMANY,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",4
2,JEEP,WRANGLER,2008,20001.0,0,1,40001 - 60000,F,Thirties,UNITED STATES,Electro-Mechanical and Mechatronics Technologists and Technicians,4
8,MERCEDES-BENZ,E350,2007,20001.0,0,1,60001 - 80000,F,Twenties,GERMANY,Miscellaneous Postsecondary Teachers,4
14,VOLKSWAGEN,BEETLE,2010,10001.0,0,1,140001 - 160000,F,Forties,GERMANY,"Airline Pilots, Copilots, and Flight Engineers",4
16,VOLKSWAGEN,BEETLE,2006,10001.0,0,1,40001 - 60000,F,Forties,GERMANY,Community and Social Service Occupations,4
22,AUDI,A3,2007,15001.0,1,1,40001 - 60000,F,Thirties,GERMANY,Counselors,4
25,FORD,MUSTANG,2004,5001.0,0,1,20001 - 40000,F,Forties,UNITED STATES,Waiters and Waitresses,4
32,FORD,MUSTANG,2012,15001.0,0,1,20001 - 40000,F,Thirties,UNITED STATES,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",4
41,JEEP,WRANGLER,2011,25001.0,1,1,20001 - 40000,F,Twenties,UNITED STATES,Fast Food and Counter Workers,4
45,JEEP,WRANGLER,2011,20001.0,0,1,?,F,Forties,UNITED STATES,Correspondence Clerks,4
47,CHEVROLET,CAMARO,2013,20001.0,0,1,20001 - 40000,U,Thirties,UNITED STATES,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",4
60,CHEVROLET,CORVETTE,2007,20001.0,0,0,20001 - 40000,F,Forties,UNITED STATES,Butchers and Meat Cutters,4
63,FORD,MUSTANG,2012,20001.0,1,1,60001 - 80000,F,Thirties,UNITED STATES,Boilermakers,4
70,FORD,MUSTANG,2013,20001.0,1,1,40001 - 60000,F,Forties,UNITED STATES,"Community and Social Service Specialists, All Other",4
72,CHEVROLET,CAMARO,2012,20001.0,0,1,100001 - 120000,F,Forties,UNITED STATES,Economists,4
73,CHEVROLET,CAMARO,2010,15001.0,1,0,0 - 20000,F,Forties,UNITED STATES,Couriers and Messengers,4
76,FORD,MUSTANG,2012,15001.0,1,1,20001 - 40000,F,Twenties,UNITED STATES,Gambling and Sports Book Writers and Runners,4
85,CHEVROLET,CAMARO,2012,25001.0,0,1,40001 - 60000,U,Twenties,UNITED STATES,"Property, Real Estate, and Community Association Managers",4
87,MERCEDES-BENZ,E350,2010,30001.0,1,1,160001 - 180000,F,Forties,GERMANY,Nurse Anesthetists,4
98,VOLKSWAGEN,BEETLE,2004,10001.0,0,1,200001+,U,Forties,GERMANY,General Internal Medicine Physicians,4
100,CHEVROLET,CAMARO,2010,20001.0,1,1,80001 - 100000,F,Thirties,UNITED STATES,Detectives and Criminal Investigators,4
107,VOLKSWAGEN,BEETLE,2006,15001.0,1,1,20001 - 40000,F,Forties,GERMANY,"Tailors, Dressmakers, and Sewers",4
109,JEEP,WRANGLER,2013,25001.0,0,1,40001 - 60000,F,Twenties,UNITED STATES,Public Safety Telecommunicators,4
114,VOLKSWAGEN,BEETLE,2010,15001.0,0,1,80001 - 100000,F,Seventies,GERMANY,Genetic Counselors,4
115,CHEVROLET,CAMARO,2011,20001.0,0,1,100001 - 120000,F,Thirties,UNITED STATES,"Software and Web Developers, Programmers, and Testers",4
127,CHEVROLET,CAMARO,2012,20001.0,1,1,100001 - 120000,F,Twenties,UNITED STATES,Sales Engineers,4
129,CHEVROLET,CORVETTE,2005,25001.0,0,1,40001 - 60000,F,Sixties,UNITED STATES,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",4
137,FORD,MUSTANG,2007,10001.0,0,1,0 - 20000,F,Forties,UNITED STATES,Material Moving Workers,4
143,JEEP,WRANGLER,2006,15001.0,1,1,20001 - 40000,F,UnderTwenty,UNITED STATES,Adhesive Bonding Machine Operators and Tenders,4
148,JEEP,WRANGLER,2011,20001.0,1,1,100001 - 120000,F,Thirties,UNITED STATES,Industrial Production Managers,4
161,MERCEDES-BENZ,SLK280,2006,20001.0,1,1,160001 - 180000,F,Fifties,GERMANY,"Pediatricians, General",4
169,FORD,MUSTANG,2012,15001.0,0,1,100001 - 120000,F,Fifties,UNITED STATES,Nurse Practitioners,4
177,CHEVROLET,CAMARO,2012,25001.0,1,1,80001 - 100000,F,Forties,UNITED STATES,"Administrative Law Judges, Adjudicators, and Hearing Officers",4
186,CHEVROLET,CAMARO,2012,20001.0,1,1,80001 - 100000,F,Thirties,UNITED STATES,"Transportation, Storage, and Distribution Managers",4
193,JEEP,WRANGLER,2007,15001.0,1,1,0 - 20000,F,Forties,UNITED STATES,"Cooks, Restaurant",4
194,AUDI,A3,2011,20001.0,0,1,100001 - 120000,F,Forties,GERMANY,Optometrists,4
