purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
HONDA,CIVIC,2012,15001.0,0,1,40001 - 60000,U,Twenties,JAPAN,Structural Iron and Steel Workers,0
NISSAN,350Z,2005,15001.0,0,1,200001+,M,Thirties,JAPAN,General Internal Medicine Physicians,0
HONDA,CIVIC,2012,15001.0,1,1,40001 - 60000,M,Twenties,JAPAN,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0
HONDA,CIVIC,2009,15001.0,0,1,20001 - 40000,U,Twenties,JAPAN,Bartenders,0
HONDA,CIVIC,2009,10001.0,0,1,40001 - 60000,M,Thirties,JAPAN,First-Line Supervisors of Sales Workers,0
NISSAN,350Z,2008,20001.0,0,1,40001 - 60000,M,Twenties,JAPAN,"News Analysts, Reporters, and Journalists",0
HONDA,CIVIC,2002,10001.0,0,1,40001 - 60000,M,Twenties,JAPAN,"Bus Drivers, Transit and Intercity",0
HONDA,CIVIC,2006,10001.0,0,1,80001 - 100000,M,Unknown,JAPAN,Agricultural Engineers,0
SATURN,SKY,2009,15001.0,0,1,20001 - 40000,U,Thirties,UNITED STATES,"Office Machine Operators, Except Computer",0
HONDA,CIVIC,2010,10001.0,0,1,40001 - 60000,F,Forties,JAPAN,"Educational, Guidance, and Career Counselors and Advisors",0
HONDA,CIVIC,2008,10001.0,0,1,20001 - 40000,U,Twenties,JAPAN,Miscellaneous Assemblers and Fabricators,0
PONTIAC,SOLSTICE,2008,15001.0,1,1,20001 - 40000,M,Twenties,UNITED STATES,Barbers,0
HONDA,CIVIC,2010,10001.0,0,1,20001 - 40000,M,Twenties,JAPAN,Photographers,0
HONDA,CIVIC,2012,15001.0,0,1,40001 - 60000,M,Thirties,JAPAN,Loan Interviewers and Clerks,0
SCION,TC,2008,10001.0,0,1,20001 - 40000,F,Twenties,UNITED STATES,File Clerks,0
SCION,TC,2006,10001.0,0,1,20001 - 40000,U,Twenties,UNITED STATES,Childcare Workers,0
HONDA,CIVIC,2011,15001.0,1,1,20001 - 40000,M,Thirties,JAPAN,Correspondence Clerks,0
HONDA,CIVIC,2011,10001.0,0,1,20001 - 40000,F,Thirties,JAPAN,"Cutting and Slicing Machine Setters, Operators, and Tenders",0
SATURN,SKY,2007,10001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,"Other Installation, Maintenance, and Repair Occupations",0
HONDA,CIVIC,2003,10001.0,0,1,40001 - 60000,M,Twenties,JAPAN,"Drafters, Engineering Technicians, and Mapping Technicians",0
HONDA,CIVIC,2007,10001.0,0,1,20001 - 40000,M,Thirties,JAPAN,"Aircraft Service Attendants and Transportation Workers, All Other",0
SCION,TC,2009,10001.0,1,1,40001 - 60000,F,Fifties,UNITED STATES,"Kindergarten Teachers, Except Special Education",0
