,purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
1,HONDA,ACCORD,2007,15001.0,1,0,0 - 20000,F,Thirties,JAPAN,Material Moving Workers,2
2,HONDA,CIVIC,2010,10001.0,0,0,20001 - 40000,M,Twenties,JAPAN,Miscellaneous Production Workers,2
3,HONDA,ACCORD,2010,20001.0,0,0,40001 - 60000,U,Thirties,JAPAN,"Plumbers, Pipefitters, and Steamfitters",2
11,HONDA,ACCORD,2009,5001.0,0,0,0 - 20000,M,Fifties,JAPAN,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",2
13,HONDA,ACCORD,2008,15001.0,1,0,40001 - 60000,U,Forties,JAPAN,Athletic Trainers,2
16,HONDA,CIVIC,2011,15001.0,0,0,20001 - 40000,F,Twenties,JAPAN,"Barbers, Hairdressers, Hairstylists and Cosmetologists",2
17,HONDA,ACCORD,2011,20001.0,1,0,?,M,Forties,JAPAN,"English Language and Literature Teachers, Postsecondary",2
29,HONDA,CIVIC,2010,10001.0,1,0,?,F,Sixties,JAPAN,Miscellaneous Social Scientists and Related Workers,2
30,HONDA,CIVIC,2012,15001.0,0,0,40001 - 60000,F,Forties,JAPAN,Bridge and Lock Tenders,2
41,HONDA,ACCORD,2009,10001.0,1,0,?,F,Forties,JAPAN,Farm Equipment Mechanics and Service Technicians,2
44,HONDA,CIVIC,2013,15001.0,1,0,?,F,Forties,JAPAN,Computer Network Support Specialists,2
61,HONDA,CIVIC,2012,15001.0,1,0,100001 - 120000,F,Unknown,JAPAN,Computer Hardware Engineers,2
67,HONDA,ACCORD,2010,15001.0,0,0,?,M,Sixties,JAPAN,Crane and Tower Operators,2
71,HONDA,ACCORD,2010,15001.0,0,0,20001 - 40000,M,Twenties,JAPAN,"Tailors, Dressmakers, and Sewers",2
72,TOYOTA,SOLARA,2005,10001.0,0,0,?,M,Forties,JAPAN,Clinical Laboratory Technologists and Technicians,2
81,HONDA,CIVIC,2006,5001.0,1,0,60001 - 80000,M,Twenties,JAPAN,Emergency Management Directors,2
85,ACURA,RSX,2006,10001.0,1,0,120001 - 140000,M,Fifties,JAPAN,Lawyers and Judicial Law Clerks,2
86,HONDA,CIVIC,2010,15001.0,1,0,?,F,Fifties,JAPAN,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2
87,HONDA,ACCORD,2008,10001.0,0,0,?,F,Thirties,JAPAN,"Nursing Instructors and Teachers, Postsecondary",2
94,DODGE,CHALLENGER,2012,20001.0,0,0,?,F,Seventies,UNITED STATES,"Floor Layers, Except Carpet, Wood, and Hard Tiles",2
100,HONDA,CIVIC,2010,10001.0,0,0,0 - 20000,M,Forties,JAPAN,Gambling Dealers,2
135,HONDA,CIVIC,2008,10001.0,0,0,20001 - 40000,M,Twenties,JAPAN,Material Moving Workers,2
141,HONDA,ACCORD,2010,15001.0,1,0,?,M,Fifties,JAPAN,Fast Food and Counter Workers,2
144,HONDA,ACCORD,2005,10001.0,0,0,20001 - 40000,M,Thirties,JAPAN,Miscellaneous Sales and Related Workers,2
150,HONDA,ACCORD,2006,5001.0,0,0,?,M,Twenties,JAPAN,Bill and Account Collectors,2
155,NISSAN,350Z,2004,10001.0,0,0,40001 - 60000,M,Fifties,JAPAN,Water and Wastewater Treatment Plant and System Operators,2
158,HONDA,CIVIC,2012,15001.0,1,0,200001+,M,Forties,JAPAN,General Internal Medicine Physicians,2
191,HONDA,ACCORD,2011,15001.0,1,0,?,F,Sixties,JAPAN,"Community and Social Service Specialists, All Other",2
223,MERCEDES-BENZ,C230,2007,15001.0,0,0,?,M,Sixties,GERMANY,Miscellaneous Computer Occupations,2
225,HONDA,CIVIC,2012,20001.0,0,0,?,F,Twenties,JAPAN,"Preschool Teachers, Except Special Education",2
238,HONDA,ACCORD,2010,15001.0,0,0,20001 - 40000,M,Thirties,JAPAN,Retail Sales Workers,2
239,HONDA,ACCORD,2006,10001.0,0,0,0 - 20000,F,Twenties,JAPAN,Craft Artists,2
253,HYUNDAI,VELOSTER,2012,10001.0,1,0,?,M,Twenties,SOUTH KOREA,Dental Laboratory Technicians,2
254,HONDA,ACCORD,2009,15001.0,0,0,?,M,Thirties,JAPAN,Nurse Anesthetists,2
255,HONDA,ACCORD,2010,15001.0,0,0,0 - 20000,M,Forties,JAPAN,Dishwashers,2
259,HONDA,CIVIC,2009,10001.0,0,0,?,M,Thirties,JAPAN,Chiropractors,2
272,HONDA,ACCORD,2009,15001.0,1,0,0 - 20000,U,Twenties,JAPAN,Retail Salespersons,2
277,HONDA,CIVIC,2009,15001.0,1,0,0 - 20000,M,Thirties,JAPAN,"Hairdressers, Hairstylists, and Cosmetologists",2
278,HONDA,ACCORD,2010,10001.0,1,0,40001 - 60000,F,Twenties,JAPAN,Highway Maintenance Workers,2
280,HONDA,ACCORD,2009,10001.0,0,0,?,F,Twenties,JAPAN,Nurse Anesthetists,2
287,HONDA,ACCORD,2007,10001.0,0,0,?,M,Fifties,JAPAN,First-Line Supervisors of Police and Detectives,2
292,HONDA,CIVIC,2011,15001.0,1,0,?,F,Twenties,JAPAN,Mental Health and Substance Abuse Social Workers,2
300,HONDA,ACCORD,2010,15001.0,1,0,?,F,HundredPlus,JAPAN,Advertising Sales Agents,2
322,HONDA,CIVIC,2010,10001.0,0,0,0 - 20000,F,Eighties,JAPAN,Photographers,2
327,HONDA,ACCORD,2006,10001.0,1,0,?,M,Fifties,JAPAN,"Math and Computer Science Teachers, Postsecondary",2
336,HONDA,ACCORD,2002,10001.0,0,0,100001 - 120000,F,Fifties,JAPAN,Miscellaneous Physical Scientists,2
345,HONDA,CIVIC,2010,10001.0,0,0,?,M,Twenties,JAPAN,Chief Executives,2
349,HONDA,CIVIC,2010,15001.0,0,0,0 - 20000,U,Twenties,JAPAN,Parts Salespersons,2
370,HONDA,CIVIC,2011,10001.0,0,0,?,F,Twenties,JAPAN,Cleaners of Vehicles and Equipment,2
386,HONDA,ACCORD,2010,15001.0,1,0,?,M,Thirties,JAPAN,Biochemists and Biophysicists,2
388,HONDA,ACCORD,2008,15001.0,0,0,?,M,Eighties,JAPAN,"Career/Technical Education Teachers, Middle School",2
390,HONDA,ACCORD,2010,15001.0,0,0,0 - 20000,F,Fifties,JAPAN,Motion Picture Projectionists,2
