purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
LEXUS,GS 300,2003,10001.0,0,1,20001 - 40000,M,Twenties,JAPAN,Painting Workers,1
FORD,FOCUS,2012,10001.0,1,1,80001 - 100000,M,Thirties,UNITED STATES,"Education Administrators, Kindergarten through Secondary",1
TOYOTA,COROLLA,2003,5001.0,0,1,120001 - 140000,F,Forties,JAPAN,Political Scientists,1
TOYOTA,COROLLA,2012,10001.0,0,1,20001 - 40000,F,Fifties,JAPAN,Agricultural Equipment Operators,1
FORD,FUSION,2010,10001.0,1,1,40001 - 60000,U,Twenties,UNITED STATES,Water and Wastewater Treatment Plant and System Operators,1
TOYOTA,CAMRY,2007,10001.0,0,1,40001 - 60000,U,Twenties,JAPAN,"Librarians, Curators, and Archivists",1
FORD,FOCUS,2003,5001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Other Office and Administrative Support Workers,1
MAZDA,MAZDA6,2007,5001.0,1,1,0 - 20000,M,Twenties,JAPAN,Fast Food and Counter Workers,1
FORD,FUSION,2011,15001.0,1,1,20001 - 40000,M,Twenties,UNITED STATES,Library Technicians,1
TOYOTA,CAMRY,2006,10001.0,1,1,40001 - 60000,M,Thirties,JAPAN,"Bus Drivers, Transit and Intercity",1
TOYOTA,CAMRY,2005,10001.0,1,1,80001 - 100000,M,Forties,JAPAN,Civil Engineers,1
TOYOTA,CAMRY,2011,15001.0,0,1,60001 - 80000,F,Fifties,JAPAN,Food Scientists and Technologists,1
MITSUBISHI,GALANT,2009,10001.0,0,1,0 - 20000,M,Twenties,JAPAN,Fast Food and Counter Workers,1
LEXUS,ES 350,2008,15001.0,0,1,80001 - 100000,M,Sixties,JAPAN,Radiation Therapists,1
BUICK,LACROSSE,2012,20001.0,0,1,80001 - 100000,F,Forties,UNITED STATES,"Education Administrators, All Other",1
LEXUS,GS 430,2006,15001.0,0,1,60001 - 80000,F,Forties,JAPAN,Miscellaneous Healthcare Diagnosing or Treating Practitioners,1
FORD,FOCUS,2005,5001.0,1,1,100001 - 120000,F,Fifties,UNITED STATES,Actuaries,1
TOYOTA,CAMRY,2011,15001.0,0,1,40001 - 60000,F,Forties,JAPAN,"Miscellaneous First-Line Supervisors, Protective Service Workers",1
FORD,FOCUS,2007,10001.0,1,1,0 - 20000,M,Seventies,UNITED STATES,Parts Salespersons,1
TOYOTA,COROLLA,2012,15001.0,0,1,20001 - 40000,M,Forties,JAPAN,Entertainment Attendants and Related Workers,1
TOYOTA,COROLLA,2010,10001.0,0,1,20001 - 40000,M,Twenties,JAPAN,Personal Care and Service Occupations,1
TOYOTA,CAMRY,2011,15001.0,0,1,40001 - 60000,U,Thirties,JAPAN,Forest and Conservation Technicians,1
TOYOTA,CAMRY,2011,15001.0,1,1,80001 - 100000,F,Twenties,JAPAN,Financial Examiners,1
FORD,FIESTA,2011,10001.0,1,1,?,F,Eighties,UNITED STATES,Retail Salespersons,1
INFINITI,M35,2006,15001.0,1,1,40001 - 60000,M,Forties,JAPAN,Art and Design Workers,1
ACURA,TL,2006,15001.0,0,1,20001 - 40000,F,Thirties,JAPAN,"Helpers, Construction Trades, All Other",1
TOYOTA,COROLLA,2011,10001.0,0,1,20001 - 40000,M,Fifties,JAPAN,Dietetic Technicians,1
INFINITI,G35,2003,10001.0,1,1,20001 - 40000,F,UnderTwenty,JAPAN,"Miscellaneous Textile, Apparel, and Furnishings Workers",1
FORD,FOCUS,2012,15001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1
MERCURY,GRAND MARQUIS,2005,5001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,"Tank Car, Truck, and Ship Loaders",1
ACURA,TL,2010,25001.0,0,1,0 - 20000,M,Thirties,JAPAN,Crossing Guards and Flaggers,1
TOYOTA,CAMRY HYBRID,2007,10001.0,0,1,40001 - 60000,M,Thirties,JAPAN,Real Estate Brokers and Sales Agents,1
TOYOTA,COROLLA,2010,10001.0,0,1,60001 - 80000,M,Forties,JAPAN,Writers and Editors,1
FORD,FUSION,2010,10001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,Clergy,1
TOYOTA,CAMRY,2010,15001.0,0,1,200001+,M,Thirties,JAPAN,Family Medicine Physicians,1
TOYOTA,COROLLA,2006,10001.0,0,1,40001 - 60000,F,Fifties,JAPAN,Fish and Game Wardens,1
TOYOTA,COROLLA,2010,10001.0,0,1,20001 - 40000,M,Sixties,JAPAN,"Motor Vehicle Operators, All Other",1
BUICK,LACROSSE,2010,15001.0,0,1,20001 - 40000,U,Twenties,UNITED STATES,"Opticians, Dispensing",1
TOYOTA,COROLLA,2010,10001.0,0,1,20001 - 40000,M,Thirties,JAPAN,Timing Device Assemblers and Adjusters,1
FORD,FOCUS,2008,10001.0,0,1,40001 - 60000,F,Twenties,UNITED STATES,Dredge Operators,1
MITSUBISHI,GALANT,2011,10001.0,0,1,40001 - 60000,U,Thirties,JAPAN,Fundraisers,1
FORD,FUSION,2012,15001.0,1,1,20001 - 40000,M,Twenties,UNITED STATES,Assemblers and Fabricators,1
FORD,FOCUS,2012,15001.0,1,1,40001 - 60000,F,Thirties,UNITED STATES,Statistical Assistants,1
TOYOTA,CAMRY,2010,15001.0,0,1,20001 - 40000,U,Fifties,JAPAN,"Sawing Machine Setters, Operators, and Tenders, Wood",1
FORD,FIESTA,2011,10001.0,0,1,20001 - 40000,F,Thirties,UNITED STATES,Food and Beverage Serving Workers,1
FORD,CROWN VICTORIA,2011,15001.0,1,1,20001 - 40000,M,Twenties,UNITED STATES,Small Engine Mechanics,1
