,purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
2,LEXUS,GS 300,2003,10001.0,0,1,20001 - 40000,M,Twenties,JAPAN,Painting Workers,4
3,CHEVROLET,CRUZE,2012,15001.0,1,1,120001 - 140000,M,Thirties,UNITED STATES,Natural Sciences Managers,4
5,FORD,FUSION,2012,15001.0,0,1,140001 - 160000,M,Fifties,UNITED STATES,Dentists,4
12,CHEVROLET,CRUZE,2012,15001.0,0,1,40001 - 60000,F,Twenties,UNITED STATES,Clinical Laboratory Technologists and Technicians,4
25,CADILLAC,STS,2005,15001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Miscellaneous Sales and Related Workers,4
28,AUDI,A4,2012,25001.0,0,1,0 - 20000,F,Sixties,GERMANY,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",4
32,CHEVROLET,CRUZE,2013,15001.0,0,1,0 - 20000,F,Twenties,UNITED STATES,Animal Trainers,4
33,FORD,FUSION,2010,10001.0,1,1,40001 - 60000,U,Twenties,UNITED STATES,Water and Wastewater Treatment Plant and System Operators,4
47,MAZDA,MAZDA6,2007,5001.0,1,1,0 - 20000,M,Twenties,JAPAN,Fast Food and Counter Workers,4
51,FORD,FUSION,2011,15001.0,1,1,20001 - 40000,M,Twenties,UNITED STATES,Library Technicians,4
56,AUDI,A6,2008,20001.0,1,1,40001 - 60000,M,Twenties,GERMANY,Bailiffs,4
79,CHRYSLER,300,2011,20001.0,0,1,40001 - 60000,M,Twenties,UNITED STATES,"Meeting, Convention, and Event Planners",4
85,FORD,TAURUS,2013,20001.0,1,1,160001 - 180000,F,Forties,UNITED STATES,"Pediatricians, General",4
86,PONTIAC,GRAND PRIX,2006,10001.0,1,1,20001 - 40000,F,Forties,UNITED STATES,Other Teachers and Instructors,4
88,LEXUS,ES 350,2008,15001.0,0,1,80001 - 100000,M,Sixties,JAPAN,Radiation Therapists,4
92,MAZDA,MAZDA6,2010,10001.0,1,1,60001 - 80000,F,Thirties,JAPAN,Subway and Streetcar Operators,4
96,CHRYSLER,SEBRING,2010,10001.0,1,1,0 - 20000,F,Forties,UNITED STATES,Cooks,4
98,LEXUS,GS 300,2006,20001.0,0,1,100001 - 120000,M,Fifties,JAPAN,Public Relations and Fundraising Managers,4
103,KIA,FORTE,2012,10001.0,0,1,20001 - 40000,M,Twenties,SOUTH KOREA,"Maintenance and Repair Workers, General",4
115,MAZDA,RX-8,2010,15001.0,0,1,20001 - 40000,M,Twenties,JAPAN,Receptionists and Information Clerks,4
119,FORD,FIESTA,2011,10001.0,1,1,?,F,Eighties,UNITED STATES,Retail Salespersons,4
121,VOLKSWAGEN,PASSAT,2008,15001.0,1,1,0 - 20000,M,Seventies,GERMANY,Other Educational Instruction and Library Occupations,4
126,LINCOLN,MKZ,2010,15001.0,1,1,40001 - 60000,M,Thirties,UNITED STATES,Supervisors of Sales Workers,4
135,CHRYSLER,300,2007,10001.0,0,1,40001 - 60000,F,UnderTwenty,UNITED STATES,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4
146,VOLKSWAGEN,PASSAT,2012,20001.0,0,1,40001 - 60000,M,Thirties,GERMANY,"Eligibility Interviewers, Government Programs",4
167,VOLKSWAGEN,CC,2013,20001.0,0,1,100001 - 120000,F,Fifties,GERMANY,Nuclear Power Reactor Operators,4
186,CHRYSLER,300,2012,20001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,Environmental Science and Geoscience Technicians,4
188,AUDI,A4,2010,20001.0,0,1,40001 - 60000,M,Twenties,GERMANY,Licensed Practical and Licensed Vocational Nurses,4
196,CHRYSLER,SEBRING,2008,15001.0,1,1,120001 - 140000,U,Twenties,UNITED STATES,Financial Managers,4
204,FORD,FUSION,2010,10001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,Clergy,4
208,FORD,TAURUS,2005,5001.0,0,0,0 - 20000,F,Forties,UNITED STATES,"Cooks, Restaurant",4
219,FORD,FUSION,2012,15001.0,1,1,20001 - 40000,M,Twenties,UNITED STATES,Assemblers and Fabricators,4
230,FORD,FUSION,2012,15001.0,1,1,60001 - 80000,M,Seventies,UNITED STATES,Instructional Coordinators,4
232,FORD,TAURUS,2009,10001.0,0,1,200001+,M,Fifties,UNITED STATES,Family Medicine Physicians,4
241,FORD,CROWN VICTORIA,2011,15001.0,1,1,20001 - 40000,M,Twenties,UNITED STATES,Small Engine Mechanics,4
243,FORD,FIESTA,2012,10001.0,0,1,40001 - 60000,M,Forties,UNITED STATES,Logging Equipment Operators,4
