,purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
12,CHEVROLET,HHR,2008,10001.0,1,1,80001 - 100000,M,Forties,UNITED STATES,"Mining and Geological Engineers, Including Mining Safety Engineers",2
26,LEXUS,RX 350,2007,20001.0,1,1,160001 - 180000,M,Fifties,JAPAN,"Pediatricians, General",2
30,DODGE,DURANGO,2004,15001.0,1,1,0 - 20000,F,Thirties,UNITED STATES,Etchers and Engravers,2
39,CHEVROLET,TRAILBLAZER,2006,10001.0,1,1,40001 - 60000,U,Thirties,UNITED STATES,Loan Interviewers and Clerks,2
42,CHEVROLET,HHR,2010,10001.0,0,1,40001 - 60000,M,Twenties,UNITED STATES,Media and Communication Workers,2
64,JEEP,GRAND CHEROKEE,2006,15001.0,1,1,20001 - 40000,M,Forties,UNITED STATES,"Maintenance and Repair Workers, General",2
74,FORD,EDGE,2008,15001.0,0,1,20001 - 40000,F,Twenties,UNITED STATES,Helpers--Production Workers,2
76,CHEVROLET,TAHOE,2003,10001.0,0,1,60001 - 80000,F,Forties,UNITED STATES,"History Teachers, Postsecondary",2
82,FORD,EXPLORER,2009,15001.0,1,1,20001 - 40000,F,Thirties,UNITED STATES,Miscellaneous Construction and Related Workers,2
88,JEEP,PATRIOT,2010,15001.0,0,0,20001 - 40000,M,Twenties,UNITED STATES,Baggage Porters and Bellhops,2
89,SATURN,VUE,2007,5001.0,0,1,0 - 20000,F,Thirties,UNITED STATES,Laborers and Material Movers,2
106,CHEVROLET,EQUINOX,2005,10001.0,1,1,40001 - 60000,M,Thirties,UNITED STATES,Jewelers and Precious Stone and Metal Workers,2
113,KIA,SPORTAGE,2010,10001.0,0,1,40001 - 60000,F,Twenties,SOUTH KOREA,Parking Enforcement Workers,2
120,FORD,EDGE,2007,15001.0,0,1,40001 - 60000,F,Forties,UNITED STATES,Insurance Claims and Policy Processing Clerks,2
121,CHEVROLET,TAHOE,2005,15001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Personal Appearance Workers,2
125,JEEP,COMPASS,2012,15001.0,0,1,20001 - 40000,M,UnderTwenty,UNITED STATES,"Mail Clerks and Mail Machine Operators, Except Postal Service",2
135,CHEVROLET,TAHOE,2007,15001.0,1,1,100001 - 120000,M,Thirties,UNITED STATES,"Law Teachers, Postsecondary",2
138,HYUNDAI,TUCSON,2005,10001.0,0,1,20001 - 40000,M,Twenties,SOUTH KOREA,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",2
140,CHEVROLET,HHR,2011,10001.0,1,1,20001 - 40000,M,UnderTwenty,UNITED STATES,Building and Grounds Cleaning and Maintenance Occupations,2
149,FORD,EXPLORER,2007,15001.0,1,1,140001 - 160000,F,Sixties,UNITED STATES,"Dentists, General",2
151,CHEVROLET,TAHOE,2008,20001.0,0,1,40001 - 60000,M,Twenties,UNITED STATES,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2
161,FORD,EXPLORER SPORT,2003,5001.0,1,1,0 - 20000,M,Fifties,UNITED STATES,Craft Artists,2
164,GMC,ENVOY,2004,5001.0,0,0,?,M,UnderTwenty,UNITED STATES,General Internal Medicine Physicians,2
165,KIA,SPORTAGE,2007,10001.0,0,1,120001 - 140000,M,Fifties,SOUTH KOREA,Operations Specialties Managers,2
173,CHEVROLET,TRAVERSE,2010,15001.0,1,1,20001 - 40000,F,Forties,UNITED STATES,Animal Caretakers,2
190,CADILLAC,SRX,2004,15001.0,0,0,20001 - 40000,M,Forties,UNITED STATES,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",2
192,LEXUS,RX 350,2007,15001.0,0,0,20001 - 40000,U,Twenties,JAPAN,Tour and Travel Guides,2
195,CHEVROLET,TAHOE,2007,20001.0,1,1,20001 - 40000,F,Thirties,UNITED STATES,Miscellaneous Healthcare Support Occupations,2
