purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
MERCEDES-BENZ,GLK350,2012,30001.0,0,0,?,F,Sixties,GERMANY,Railroad Conductors and Yardmasters,5
JEEP,COMMANDER,2007,15001.0,0,0,40001 - 60000,M,Fifties,UNITED STATES,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",5
FORD,ESCAPE,2011,15001.0,0,0,?,F,Thirties,UNITED STATES,Jewelers and Precious Stone and Metal Workers,5
MERCEDES-BENZ,GLK350,2010,25001.0,0,0,?,M,Sixties,GERMANY,"Insulation Workers, Floor, Ceiling, and Wall",5
CADILLAC,SRX,2008,25001.0,0,0,40001 - 60000,F,Forties,UNITED STATES,Fundraisers,5
JEEP,GRAND CHEROKEE,2014,40001.0,1,0,80001 - 100000,M,Twenties,UNITED STATES,Agricultural Engineers,5
FORD,EDGE,2013,25001.0,0,0,?,M,Eighties,UNITED STATES,Ship Engineers,5
CADILLAC,SRX,2011,25001.0,1,0,20001 - 40000,F,Thirties,UNITED STATES,Miscellaneous Food Preparation and Serving Related Workers,5
ACURA,MDX,2008,20001.0,0,0,100001 - 120000,F,Forties,JAPAN,Miscellaneous Physical Scientists,5
GMC,YUKON XL 1500,2010,25001.0,1,0,60001 - 80000,M,Thirties,UNITED STATES,Speech-Language Pathologists,5
TOYOTA,RAV4,2010,15001.0,0,0,?,M,Thirties,JAPAN,Printing Press Operators,5
MAZDA,TRIBUTE,2009,10001.0,1,0,20001 - 40000,F,Forties,JAPAN,Tellers,5
MERCEDES-BENZ,ML350,2010,30001.0,0,0,0 - 20000,U,Thirties,GERMANY,Waiters and Waitresses,5
TOYOTA,RAV4,2009,15001.0,0,0,200001+,F,Sixties,JAPAN,General Internal Medicine Physicians,5
CHEVROLET,HHR,2007,10001.0,1,0,?,F,Forties,UNITED STATES,Aerospace Engineering and Operations Technologists and Technicians,5
FORD,EDGE,2011,20001.0,1,0,60001 - 80000,M,Twenties,UNITED STATES,Locomotive Engineers,5
CHEVROLET,TRAVERSE,2012,25001.0,1,0,?,M,Seventies,UNITED STATES,Upholsterers,5
NISSAN,ROGUE,2012,15001.0,0,0,?,F,Fifties,JAPAN,"Archivists, Curators, and Museum Technicians",5
NISSAN,ARMADA,2012,25001.0,0,0,?,F,Fifties,JAPAN,Gambling Cage Workers,5
TOYOTA,4RUNNER,2008,20001.0,1,0,?,F,Fifties,JAPAN,Occupational Therapy Assistants,5
TOYOTA,HIGHLANDER,2012,25001.0,0,0,?,M,Forties,JAPAN,Sales Managers,5
JEEP,PATRIOT,2010,15001.0,0,0,20001 - 40000,M,Twenties,UNITED STATES,Baggage Porters and Bellhops,5
HONDA,CR-V,2009,15001.0,1,0,60001 - 80000,M,Fifties,JAPAN,Instructional Coordinators,5
CHEVROLET,HHR,2011,10001.0,0,0,0 - 20000,F,Sixties,UNITED STATES,Recreation Workers,5
MERCEDES-BENZ,ML350,2011,30001.0,0,0,?,U,UnderTwenty,GERMANY,Shoe Machine Operators and Tenders,5
DODGE,JOURNEY,2013,15001.0,0,0,40001 - 60000,F,Thirties,UNITED STATES,Architectural and Civil Drafters,5
LEXUS,RX 350,2010,35001.0,1,0,60001 - 80000,U,Twenties,JAPAN,Cost Estimators,5
JEEP,GRAND CHEROKEE,2007,20001.0,0,0,?,F,Fifties,UNITED STATES,"School Bus Monitors and Protective Service Workers, All Other",5
NISSAN,ROGUE,2010,15001.0,1,0,60001 - 80000,U,Twenties,JAPAN,Special Effects Artists and Animators,5
FORD,ESCAPE,2012,15001.0,0,0,?,F,UnderTwenty,UNITED STATES,Tile and Stone Setters,5
FORD,ESCAPE HYBRID,2010,20001.0,1,0,?,M,Fifties,UNITED STATES,Power Distributors and Dispatchers,5
CHEVROLET,EQUINOX,2009,15001.0,1,0,0 - 20000,M,Twenties,UNITED STATES,"Athletes, Coaches, Umpires, and Related Workers",5
