,purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
2,FORD,F150,2006,15001.0,0,1,40001 - 60000,U,Twenties,UNITED STATES,Glaziers,1
8,FORD,RANGER,2006,10001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Photographic Process Workers and Processing Machine Operators,1
15,CHEVROLET,SILVERADO 1500,2007,15001.0,1,1,40001 - 60000,M,Twenties,UNITED STATES,"Middle School Teachers, Except Special and Career/Technical Education",1
16,CHEVROLET,COLORADO,2008,15001.0,0,0,20001 - 40000,M,Twenties,UNITED STATES,Miscellaneous Food Processing Workers,1
21,FORD,F350,2006,20001.0,1,1,200001+,M,Forties,UNITED STATES,Family Medicine Physicians,1
22,FORD,F150,2005,10001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Grounds Maintenance Workers,1
23,GMC,SIERRA 1500,2006,20001.0,0,1,80001 - 100000,M,Thirties,UNITED STATES,Miscellaneous Computer Occupations,1
24,FORD,F150,2008,15001.0,0,1,20001 - 40000,M,Fifties,UNITED STATES,"Mixing and Blending Machine Setters, Operators, and Tenders",1
27,FORD,RANGER,2008,10001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,"Engineering Technologists and Technicians, Except Drafters",1
31,CHEVROLET,COLORADO,2006,10001.0,0,1,60001 - 80000,M,Forties,UNITED STATES,Line Installers and Repairers,1
37,CHEVROLET,SILVERADO 1500,2006,10001.0,0,1,60001 - 80000,M,Forties,UNITED STATES,"Sociology Teachers, Postsecondary",1
41,FORD,RANGER,2010,10001.0,0,1,0 - 20000,M,Twenties,UNITED STATES,Legislators,1
42,FORD,F150,2007,15001.0,1,1,60001 - 80000,M,Forties,UNITED STATES,Writers and Authors,1
46,FORD,RANGER,2010,15001.0,0,1,0 - 20000,M,Eighties,UNITED STATES,"Teaching Assistants, Postsecondary",1
50,DODGE,DAKOTA,2004,10001.0,0,1,20001 - 40000,M,Fifties,UNITED STATES,Recreation Workers,1
59,FORD,RANGER,2011,15001.0,0,1,60001 - 80000,M,Fifties,UNITED STATES,Microbiologists,1
61,CHEVROLET,SILVERADO 2500,2004,15001.0,1,0,?,M,Fifties,UNITED STATES,"Cooks, All Other",1
62,CHEVROLET,AVALANCHE 1500,2006,15001.0,0,1,20001 - 40000,M,Fifties,UNITED STATES,"Inspectors, Testers, Sorters, Samplers, and Weighers",1
72,CHEVROLET,SILVERADO 1500,2008,20001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,Advertising Sales Agents,1
76,FORD,RANGER,2003,10001.0,1,1,100001 - 120000,M,Forties,UNITED STATES,Nurse Practitioners,1
84,FORD,F150,2006,15001.0,0,1,40001 - 60000,M,Forties,UNITED STATES,Advertising Sales Agents,1
86,FORD,F150,2008,20001.0,1,1,80001 - 100000,M,Twenties,UNITED STATES,"Social Sciences Teachers, Postsecondary",1
88,GMC,CANYON,2005,10001.0,0,1,60001 - 80000,M,Thirties,UNITED STATES,Ship Engineers,1
89,CHEVROLET,SILVERADO 1500,2005,10001.0,0,1,60001 - 80000,M,Forties,UNITED STATES,Special Education Teachers,1
94,FORD,F150,2007,20001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Coaches and Scouts,1
98,CHEVROLET,SILVERADO 1500,2008,15001.0,0,1,0 - 20000,U,Twenties,UNITED STATES,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",1
99,FORD,F150,2009,15001.0,0,1,60001 - 80000,M,Forties,UNITED STATES,"Education and Library Science Teachers, Postsecondary",1
103,GMC,SIERRA 1500,2008,20001.0,0,1,40001 - 60000,M,Forties,UNITED STATES,Home Appliance Repairers,1
105,FORD,F150,2006,10001.0,0,0,20001 - 40000,M,Forties,UNITED STATES,Security Guards,1
113,FORD,F150,2008,10001.0,0,0,40001 - 60000,M,Forties,UNITED STATES,Insurance Claims and Policy Processing Clerks,1
115,CHEVROLET,SILVERADO 1500,2006,15001.0,0,0,0 - 20000,M,Thirties,UNITED STATES,Shoe and Leather Workers and Repairers,1
124,GMC,SIERRA 1500,2004,10001.0,0,1,20001 - 40000,M,Unknown,UNITED STATES,"Food Servers, Nonrestaurant",1
129,CHEVROLET,SILVERADO 1500,2011,15001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,"Aircraft Service Attendants and Transportation Workers, All Other",1
134,CHEVROLET,SILVERADO 1500,2007,10001.0,1,1,60001 - 80000,M,Twenties,UNITED STATES,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",1
138,CHEVROLET,SILVERADO 1500,2009,15001.0,1,1,60001 - 80000,U,Twenties,UNITED STATES,Pile Driver Operators,1
153,CHEVROLET,SILVERADO 2500,2006,20001.0,1,1,60001 - 80000,M,Thirties,UNITED STATES,"Library Science Teachers, Postsecondary",1
158,CHEVROLET,SILVERADO 1500,2009,20001.0,1,1,20001 - 40000,M,Fifties,UNITED STATES,Models,1
159,CHEVROLET,SILVERADO 1500,2003,15001.0,1,1,40001 - 60000,M,Twenties,UNITED STATES,Public Safety Telecommunicators,1
170,FORD,F150,2003,15001.0,0,1,40001 - 60000,M,Forties,UNITED STATES,"Bookkeeping, Accounting, and Auditing Clerks",1
175,GMC,SIERRA 1500,2007,15001.0,0,1,60001 - 80000,M,Fifties,UNITED STATES,Dietitians and Nutritionists,1
178,FORD,RANGER,2010,10001.0,0,1,20001 - 40000,M,Fifties,UNITED STATES,"Office Clerks, General",1
190,CHEVROLET,COLORADO,2010,20001.0,0,1,0 - 20000,M,Forties,UNITED STATES,Other Protective Service Workers,1
191,FORD,F150,2008,10001.0,1,1,20001 - 40000,M,Twenties,UNITED STATES,Septic Tank Servicers and Sewer Pipe Cleaners,1
202,FORD,F250,2004,15001.0,1,1,0 - 20000,M,Fifties,UNITED STATES,Cashiers,1
220,FORD,RANGER,2004,10001.0,0,1,20001 - 40000,M,Thirties,UNITED STATES,"Logging Workers, All Other",1
225,CHEVROLET,AVALANCHE 1500,2007,20001.0,0,0,20001 - 40000,M,Thirties,UNITED STATES,Demonstrators and Product Promoters,1
233,FORD,F150 HERITAGE,2004,5001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Fast Food and Counter Workers,1
234,FORD,F150,2006,10001.0,0,1,0 - 20000,M,Fifties,UNITED STATES,"Graders and Sorters, Agricultural Products",1
235,FORD,F150,2007,20001.0,0,1,40001 - 60000,M,Fifties,UNITED STATES,"Control and Valve Installers and Repairers, Except Mechanical Door",1
238,FORD,F150,2009,15001.0,1,1,40001 - 60000,M,Forties,UNITED STATES,Crane and Tower Operators,1
240,CHEVROLET,SILVERADO 1500,2004,10001.0,0,1,40001 - 60000,M,Fifties,UNITED STATES,Set and Exhibit Designers,1
245,FORD,F150,2005,10001.0,1,1,20001 - 40000,M,Unknown,UNITED STATES,Production Occupations,1
249,CHEVROLET,SILVERADO 1500,2010,15001.0,1,1,140001 - 160000,M,Twenties,UNITED STATES,Architectural and Engineering Managers,1
250,CHEVROLET,SILVERADO 1500,2007,20001.0,0,0,60001 - 80000,M,UnderTwenty,UNITED STATES,"Recreation and Fitness Studies Teachers, Postsecondary",1
251,CHEVROLET,SILVERADO 1500,2005,15001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,"Interviewers, Except Eligibility and Loan",1
258,CHEVROLET,COLORADO,2006,15001.0,0,1,100001 - 120000,M,Sixties,UNITED STATES,Mathematicians,1
260,CHEVROLET,SILVERADO 1500,2008,15001.0,0,1,80001 - 100000,M,Forties,UNITED STATES,Computer and Mathematical Occupations,1
263,CHEVROLET,SILVERADO 1500,2005,15001.0,1,1,40001 - 60000,M,Thirties,UNITED STATES,Licensed Practical and Licensed Vocational Nurses,1
264,FORD,F150,2007,15001.0,1,0,40001 - 60000,U,Twenties,UNITED STATES,Miscellaneous Rail Transportation Workers,1
267,CHEVROLET,SILVERADO 1500,2004,15001.0,1,1,100001 - 120000,M,Twenties,UNITED STATES,"Psychologists, All Other",1
274,FORD,F150,2009,20001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,Embalmers,1
276,CHEVROLET,SILVERADO 1500,2008,15001.0,1,1,40001 - 60000,M,Thirties,UNITED STATES,Other Construction and Related Workers,1
280,CHEVROLET,SILVERADO 1500,2007,15001.0,0,1,60001 - 80000,M,Twenties,UNITED STATES,Ship Engineers,1
282,FORD,F150,2007,10001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,"Miscellaneous Installation, Maintenance, and Repair Workers",1
283,GMC,SIERRA 1500,2010,15001.0,1,1,40001 - 60000,M,Sixties,UNITED STATES,Sheet Metal Workers,1
289,GMC,SIERRA 1500,2007,20001.0,1,1,40001 - 60000,M,Forties,UNITED STATES,Agricultural and Food Science Technicians,1
290,FORD,F150,2004,15001.0,0,1,40001 - 60000,M,Twenties,UNITED STATES,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",1
291,CHEVROLET,SILVERADO 1500,2006,15001.0,0,1,40001 - 60000,M,Forties,UNITED STATES,Dispatchers,1
293,FORD,F150,2007,15001.0,0,1,80001 - 100000,M,Thirties,UNITED STATES,Statisticians,1
296,CHEVROLET,SILVERADO 1500,2008,25001.0,0,1,120001 - 140000,M,Forties,UNITED STATES,Podiatrists,1
299,FORD,F150,2006,15001.0,1,1,40001 - 60000,M,Twenties,UNITED STATES,Fish and Game Wardens,1
301,FORD,RANGER,2009,15001.0,1,1,60001 - 80000,M,Fifties,UNITED STATES,"Family and Consumer Sciences Teachers, Postsecondary",1
306,CHEVROLET,COLORADO,2004,10001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Gambling Change Persons and Booth Cashiers,1
309,CHEVROLET,AVALANCHE 1500,2004,15001.0,0,0,40001 - 60000,M,Fifties,UNITED STATES,Correctional Officers and Jailers,1
313,DODGE,DAKOTA,2005,10001.0,0,1,20001 - 40000,M,Fifties,UNITED STATES,Building and Grounds Cleaning and Maintenance Occupations,1
319,CHEVROLET,COLORADO,2007,10001.0,1,1,20001 - 40000,M,Twenties,UNITED STATES,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",1
324,CHEVROLET,COLORADO,2005,10001.0,0,1,40001 - 60000,M,Forties,UNITED STATES,"Eligibility Interviewers, Government Programs",1
