purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
SUZUKI,SX4,2012,10001.0,0,1,40001 - 60000,M,Thirties,JAPAN,"Underground Mining Machine Operators and Extraction Workers, All Other",5
DODGE,CALIBER,2010,10001.0,0,1,0 - 20000,M,Fifties,UNITED STATES,"Food Preparation and Serving Related Workers, All Other",5
HONDA,FIT,2008,10001.0,0,1,20001 - 40000,F,Twenties,JAPAN,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",5
SCION,XB,2005,10001.0,0,1,20001 - 40000,F,Twenties,UNITED STATES,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",5
SCION,XB,2010,10001.0,0,1,20001 - 40000,F,Sixties,UNITED STATES,Building Cleaning Workers,5
HONDA,FIT,2010,15001.0,0,1,80001 - 100000,F,Fifties,JAPAN,Hydrologists,5
PONTIAC,VIBE,2006,10001.0,0,1,40001 - 60000,F,Sixties,UNITED STATES,Correctional Officers and Jailers,5
CHEVROLET,CAPTIVA SPORT,2013,15001.0,1,1,20001 - 40000,M,Twenties,UNITED STATES,Automotive and Watercraft Service Attendants,5
CHRYSLER,PT CRUISER,2004,5001.0,0,1,0 - 20000,F,Twenties,UNITED STATES,Material Moving Workers,5
CHEVROLET,CAPTIVA SPORT,2012,15001.0,0,1,20001 - 40000,F,Sixties,UNITED STATES,Landscaping and Groundskeeping Workers,5
SUZUKI,SX4,2009,10001.0,1,1,20001 - 40000,F,Fifties,JAPAN,Entertainment Attendants and Related Workers,5
SCION,XB,2008,10001.0,1,1,100001 - 120000,M,Thirties,UNITED STATES,Public Relations and Fundraising Managers,5
VOLKSWAGEN,GOLF,2006,10001.0,0,1,0 - 20000,F,Forties,GERMANY,"Barbers, Hairdressers, Hairstylists and Cosmetologists",5
SATURN,AURA,2007,10001.0,1,1,20001 - 40000,F,Twenties,UNITED STATES,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",5
DODGE,CALIBER,2009,10001.0,1,1,40001 - 60000,M,Twenties,UNITED STATES,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",5
SCION,XD,2008,10001.0,0,1,40001 - 60000,F,Forties,UNITED STATES,Agricultural and Food Science Technicians,5
SATURN,ASTRA,2008,10001.0,0,0,?,U,Forties,UNITED STATES,Supervisors of Building and Grounds Cleaning and Maintenance Workers,5
DODGE,CALIBER,2008,10001.0,0,1,80001 - 100000,F,Twenties,UNITED STATES,Healthcare Diagnosing or Treating Practitioners,5
DODGE,CALIBER,2008,10001.0,1,0,?,M,Sixties,UNITED STATES,Nurse Anesthetists,5
DODGE,CALIBER,2007,10001.0,1,1,40001 - 60000,M,Twenties,UNITED STATES,Exercise Trainers and Group Fitness Instructors,5
CHRYSLER,PT CRUISER,2006,10001.0,1,1,20001 - 40000,M,Forties,UNITED STATES,Print Binding and Finishing Workers,5
SUZUKI,SX4,2012,10001.0,1,1,0 - 20000,U,Thirties,JAPAN,"Baggage Porters, Bellhops, and Concierges",5
CHRYSLER,PT CRUISER,2008,10001.0,1,1,20001 - 40000,F,Fifties,UNITED STATES,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",5
PONTIAC,VIBE,2009,10001.0,0,0,200001+,M,Sixties,UNITED STATES,Family Medicine Physicians,5
CHRYSLER,PT CRUISER,2007,10001.0,0,1,0 - 20000,F,Seventies,UNITED STATES,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",5
SCION,XB,2006,10001.0,0,1,40001 - 60000,M,Twenties,UNITED STATES,Statistical Assistants,5
SCION,XD,2012,15001.0,1,1,120001 - 140000,M,Fifties,UNITED STATES,Advertising and Promotions Managers,5
HONDA,CR-Z,2011,15001.0,0,1,20001 - 40000,M,UnderTwenty,JAPAN,Reservation and Transportation Ticket Agents and Travel Clerks,5
DODGE,CALIBER,2011,10001.0,0,1,20001 - 40000,F,Forties,UNITED STATES,"Hotel, Motel, and Resort Desk Clerks",5
CHRYSLER,PT CRUISER,2010,10001.0,0,1,40001 - 60000,F,Fifties,UNITED STATES,Graphic Designers,5
DODGE,CALIBER,2007,5001.0,0,1,180001 - 200000,M,UnderTwenty,UNITED STATES,Chief Executives,5
DODGE,CALIBER,2010,10001.0,1,1,40001 - 60000,F,Twenties,UNITED STATES,Real Estate Brokers and Sales Agents,5
CHRYSLER,PT CRUISER,2007,5001.0,0,1,20001 - 40000,F,Thirties,UNITED STATES,Order Clerks,5
DODGE,CALIBER,2012,10001.0,0,1,20001 - 40000,M,Fifties,UNITED STATES,Septic Tank Servicers and Sewer Pipe Cleaners,5
CHRYSLER,PT CRUISER,2006,5001.0,0,1,20001 - 40000,F,Thirties,UNITED STATES,Financial Clerks,5
SATURN,ASTRA,2008,10001.0,1,0,20001 - 40000,M,Fifties,UNITED STATES,Skincare Specialists,5
CHRYSLER,PT CRUISER,2005,10001.0,0,1,0 - 20000,U,Fifties,UNITED STATES,Miscellaneous Educational Instruction and Library Workers,5
SCION,XD,2008,10001.0,1,1,60001 - 80000,U,Forties,UNITED STATES,Emergency Management Directors,5
CHRYSLER,PT CRUISER,2008,5001.0,0,1,80001 - 100000,U,Sixties,UNITED STATES,Biochemists and Biophysicists,5
SCION,XB,2006,10001.0,1,1,60001 - 80000,M,Fifties,UNITED STATES,"Project Management Specialists and Business Operations Specialists, All Other",5
DODGE,CALIBER,2008,5001.0,0,1,40001 - 60000,F,Twenties,UNITED STATES,Reinforcing Iron and Rebar Workers,5
SUZUKI,SX4,2010,10001.0,1,1,20001 - 40000,M,Twenties,JAPAN,Physical Therapist Aides,5
CHRYSLER,PT CRUISER,2007,5001.0,1,1,40001 - 60000,F,Thirties,UNITED STATES,Home Appliance Repairers,5
CHEVROLET,CAPTIVA SPORT,2012,15001.0,0,1,20001 - 40000,F,Thirties,UNITED STATES,Cashiers,5
BMW,135,2009,20001.0,1,1,40001 - 60000,F,Forties,GERMANY,"Bookkeeping, Accounting, and Auditing Clerks",5
DODGE,CALIBER,2010,10001.0,0,0,?,M,Fifties,UNITED STATES,"Control and Valve Installers and Repairers, Except Mechanical Door",5
HONDA,FIT,2008,10001.0,1,1,20001 - 40000,M,Twenties,JAPAN,"Switchboard Operators, Including Answering Service",5
CHEVROLET,CAPTIVA SPORT,2013,15001.0,0,1,120001 - 140000,U,Thirties,UNITED STATES,Purchasing Managers,5
PONTIAC,VIBE,2010,10001.0,0,1,0 - 20000,F,Thirties,UNITED STATES,"Food Servers, Nonrestaurant",5
DODGE,MAGNUM,2005,15001.0,0,1,160001 - 180000,M,Forties,UNITED STATES,"Pediatricians, General",5
SATURN,AURA,2008,10001.0,0,1,20001 - 40000,F,Fifties,UNITED STATES,"Helpers, Construction Trades",5
CHRYSLER,PT CRUISER,2005,5001.0,0,1,20001 - 40000,F,Thirties,UNITED STATES,Dancers and Choreographers,5
SCION,XB,2010,15001.0,1,1,40001 - 60000,F,Sixties,UNITED STATES,Recreational Therapists,5
HONDA,FIT,2010,10001.0,0,1,40001 - 60000,F,Twenties,JAPAN,Surgical Technologists,5
SCION,XB,2009,10001.0,1,1,40001 - 60000,M,Twenties,UNITED STATES,Protective Service Occupations,5
HONDA,CR-Z,2011,15001.0,0,1,60001 - 80000,F,Fifties,JAPAN,First-Line Supervisors of Construction Trades and Extraction Workers,5
CHEVROLET,CAPTIVA SPORT,2012,15001.0,0,1,40001 - 60000,F,Forties,UNITED STATES,Extraction Workers,5
DODGE,CALIBER,2010,10001.0,1,1,0 - 20000,F,Eighties,UNITED STATES,Bakers,5
DODGE,CALIBER,2011,10001.0,1,1,120001 - 140000,M,Forties,UNITED STATES,Aircraft Pilots and Flight Engineers,5
SCION,XB,2009,10001.0,0,0,?,F,Eighties,UNITED STATES,"Models, Demonstrators, and Product Promoters",5
SATURN,AURA,2007,10001.0,0,1,40001 - 60000,M,UnderTwenty,UNITED STATES,"Miscellaneous First-Line Supervisors, Protective Service Workers",5
HONDA,FIT,2007,10001.0,0,1,60001 - 80000,F,Forties,JAPAN,"Agents and Business Managers of Artists, Performers, and Athletes",5
SUZUKI,SX4,2008,10001.0,1,1,20001 - 40000,F,Thirties,JAPAN,Childcare Workers,5
CHEVROLET,CAPTIVA SPORT,2012,15001.0,1,1,40001 - 60000,M,Thirties,UNITED STATES,Proofreaders and Copy Markers,5
DODGE,CALIBER,2007,10001.0,0,1,0 - 20000,U,Twenties,UNITED STATES,Helpers--Production Workers,5
CHRYSLER,PT CRUISER,2008,10001.0,0,1,40001 - 60000,F,Twenties,UNITED STATES,Jewelers and Precious Stone and Metal Workers,5
CHRYSLER,PT CRUISER,2006,5001.0,1,1,20001 - 40000,M,Forties,UNITED STATES,Rehabilitation Counselors,5
SCION,XA,2006,10001.0,0,1,20001 - 40000,F,Twenties,UNITED STATES,Printing Workers,5
DODGE,CALIBER,2007,5001.0,1,1,40001 - 60000,F,Forties,UNITED STATES,Roofers,5
DODGE,CALIBER,2010,10001.0,0,1,40001 - 60000,U,Twenties,UNITED STATES,Civil Engineering Technologists and Technicians,5
DODGE,CALIBER,2007,10001.0,0,1,40001 - 60000,M,Thirties,UNITED STATES,Hearing Aid Specialists,5
SCION,XD,2010,10001.0,0,0,?,M,Thirties,UNITED STATES,Crossing Guards and Flaggers,5
DODGE,MAGNUM,2007,10001.0,0,1,40001 - 60000,M,Twenties,UNITED STATES,Hazardous Materials Removal Workers,5
VOLKSWAGEN,RABBIT,2007,10001.0,1,1,20001 - 40000,M,Forties,GERMANY,Other Office and Administrative Support Workers,5
CHEVROLET,CAPTIVA SPORT,2012,15001.0,0,1,40001 - 60000,M,Fifties,UNITED STATES,Miscellaneous Media and Communication Workers,5
DODGE,CALIBER,2009,10001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,"Cooks, Private Household",5
SCION,XB,2011,15001.0,1,1,40001 - 60000,F,Thirties,UNITED STATES,"Service Unit Operators, Oil and Gas",5
DODGE,CALIBER,2008,10001.0,0,1,20001 - 40000,M,Twenties,UNITED STATES,Woodworkers,5
